title,link
1977.html,https://www.berkshirehathaway.com/letters/1977.html
1978.html,https://www.berkshirehathaway.com/letters/1978.html
1979.html,https://www.berkshirehathaway.com/letters/1979.html
1980.html,https://www.berkshirehathaway.com/letters/1980.html
1981.html,https://www.berkshirehathaway.com/letters/1981.html
1982.html,https://www.berkshirehathaway.com/letters/1982.html
1983.html,https://www.berkshirehathaway.com/letters/1983.html
1984.html,https://www.berkshirehathaway.com/letters/1984.html
1985.html,https://www.berkshirehathaway.com/letters/1985.html
1986.html,https://www.berkshirehathaway.com/letters/1986.html
1987.html,https://www.berkshirehathaway.com/letters/1987.html
1988.html,https://www.berkshirehathaway.com/letters/1988.html
1989.html,https://www.berkshirehathaway.com/letters/1989.html
1990.html,https://www.berkshirehathaway.com/letters/1990.html
1991.html,https://www.berkshirehathaway.com/letters/1991.html
1992.html,https://www.berkshirehathaway.com/letters/1992.html
1993.html,https://www.berkshirehathaway.com/letters/1993.html
1994.html,https://www.berkshirehathaway.com/letters/1994.html
1995.html,https://www.berkshirehathaway.com/letters/1995.html
1996.html,https://www.berkshirehathaway.com/letters/1996.html
1997.html,https://www.berkshirehathaway.com/letters/1997.html
1998.pdf,https://www.berkshirehathaway.com/letters/1998pdf.pdf
1999.pdf,https://www.berkshirehathaway.com/letters/final1999pdf.pdf
2000.pdf,https://www.berkshirehathaway.com/letters/2000pdf.pdf
2001.pdf,https://www.berkshirehathaway.com/letters/2001pdf.pdf
2002.pdf,https://www.berkshirehathaway.com/letters/2002pdf.pdf
2003.pdf,https://www.berkshirehathaway.com/letters/2003ltr.pdf
2004.pdf,https://www.berkshirehathaway.com/letters/2004ltr.pdf
2005.pdf,https://www.berkshirehathaway.com/letters/2005ltr.pdf
2006.pdf,https://www.berkshirehathaway.com/letters/2006ltr.pdf
2007.pdf,https://www.berkshirehathaway.com/letters/2007ltr.pdf
2008.pdf,https://www.berkshirehathaway.com/letters/2008ltr.pdf
2009.pdf,https://www.berkshirehathaway.com/letters/2009ltr.pdf
2010.pdf,https://www.berkshirehathaway.com/letters/2010ltr.pdf
2011.pdf,https://www.berkshirehathaway.com/letters/2011ltr.pdf
2012.pdf,https://www.berkshirehathaway.com/letters/2012ltr.pdf
2013.pdf,https://www.berkshirehathaway.com/letters/2013ltr.pdf
2014.pdf,https://www.berkshirehathaway.com/letters/2014ltr.pdf
2015.pdf,https://www.berkshirehathaway.com/letters/2015ltr.pdf
2016.pdf,https://www.berkshirehathaway.com/letters/2016ltr.pdf
2017.pdf,https://www.berkshirehathaway.com/letters/2017ltr.pdf
2018.pdf,https://www.berkshirehathaway.com/letters/2018ltr.pdf
2019.pdf,https://www.berkshirehathaway.com/letters/2019ltr.pdf
